id,name,safety_index,health_index,1b_rent_oc,1b_rent_cc,basic_utils_85m2,internet_60mbps,trans_means,gas_liter,monthly_pass_local_trans,one_way_local_trans,meal_for_two_midrange_rest,meal_inex_rest,safety_lvl,health_lvl
3462,"Orlando, FL, United States",48.59,63.98,1271,1566,171.37,78,"{'Walking': 1, 'Car': 93, 'Working from Home': 6}",0.8856139,50,2,65,16,(Moderate),(High)
3477,"Saint Paul, MN, United States",49.41,76.35,1154,1508,220.73,80,"{'Walking': 11, 'Car': 68, 'Bus/Trolleybus': 16, 'Working from Home': 5}",0.856234612,85,2.25,75,16,(Moderate),(High)
3497,"Washington, DC, United States",41.16,69.62,1760,2191,158.08,66,"{'Walking': 9, 'Train/Metro': 11, 'Car': 65, 'Bus/Trolleybus': 5, 'Working from Home': 4, 'Bike': 7}",0.941802813,102,3,80,16,(Moderate),(High)
7554,"Ashland, OH, United States",72.06,0,583,533,106.67,60,,0.847992289,0,0,45,16,(High),
7700,"Albany, NY, United States",48.78,69.48,938,1100,155.02,69,"{'Car': 92, 'Working from Home': 8}",0.934024466,0,1.5,65,14,(Moderate),(High)
8010,"San Angelo, TX, United States",45.34,100,1100,1600,205.76,58,{'Car': 100},0.76213673,0,0,40,11,(Moderate),(Very High)
8029,"Nashville, TN, United States",53.16,63.95,1301,1793,180.72,73,"{'Walking': 3, 'Car': 90, 'Bus/Trolleybus': 3, 'Working from Home': 2, 'Bike': 2}",0.810479926,65,3.09,63,15,(Moderate),(High)
8331,"Sioux Falls, SD, United States",57.16,66.62,806,1028,148.25,68,{'Car': 100},0.839604924,33,2,50,13,(Moderate),(High)
8343,"Springfield, MA, United States",26.59,58.33,0,0,183.92,63,"{'Car': 83, 'Working from Home': 17}",0.903732803,40,1.25,50,14,(Low),(Moderate)
8400,"Aurora, IL, United States",60.66,73.15,0,0,156.84,51,"{'Walking': 25, 'Tram/Streetcar': 25, 'Car': 50}",0.901003101,200,0,55,14,(High),(High)
8449,"Tempe, AZ, United States",57.26,66.67,1288,1600,171.06,75,"{'Tram/Streetcar': 12, 'Car': 88}",0.988569626,64,2,45,11,(Moderate),(High)
8539,"Charleston, SC, United States",61.13,74.15,1295,1644,249.82,65,"{'Walking': 4, 'Car': 88, 'Working from Home': 4, 'Motorbike': 4}",0.923875804,57,2,50,20,(High),(High)
9221,"Augusta, GA, United States",54.02,70,1100,1300,154.44,75,{'Car': 100},0.80427201,0,1.13,50,15,(Moderate),(High)
9275,"Jonesboro, AR, United States",56.62,90.74,850,900,117.5,90,{'Car': 100},0.775609511,33,0,35,7,(Moderate),(Very High)
9276,"Green Bay, WI, United States",68.96,63.43,667,767,135.56,62,{'Car': 100},0.79436555,0,0,60,12,(High),(High)
9481,"Albany, GA, United States",28.73,66.67,350,400,159.25,78,,0.805460967,0,0,33,11,(Low),(High)
9519,"Worcester, MA, United States",50.98,60.3,1167,1300,185.46,63,{'Car': 100},0.870711296,57,0,75,15,(Moderate),(High)
9659,"Auburn, AL, United States",80.29,77.78,667,717,164.67,55,{'Walking': 100},0.825405768,0,0,50,10,(Very High),(High)
9739,"Bemidji, MN, United States",26.47,0,800,825,200,73,,0.792516158,0,0,75,20,(Low),
9975,"Abilene, TX, United States",37.51,9.72,800,600,133.95,63,"{'Car': 75, 'Working from Home': 25}",0.753771162,50,0,55,13,(Low),(Very Low)
10657,"Daytona Beach, FL, United States",36.86,67.22,975,1075,155.77,59,"{'Car': 75, 'Bus/Trolleybus': 25}",0.868465826,60,2.25,58,12,(Low),(High)
10778,"Adrian, MI, United States",89.71,66.67,0,0,95,40,{'Car': 100},0.758173791,20,2,48,18,(Very High),(High)
11117,"Canton, OH, United States",39.41,83.89,599,699,166.25,72,"{'Walking': 43, 'Car': 57}",0.821047126,0,0,50,17,(Low),(Very High)
11786,"Clarksville, TN, United States",55.67,56.25,750,800,133.91,74,{'Car': 100},0.834651788,43,2.5,45,12,(Moderate),(Moderate)
12065,"Lisle, IL, United States",87.16,0,550,700,200,30,,0,200,5.5,50,25,(Very High),
12556,"Muskogee, OK, United States",16.18,0,475,600,140,62,,0.758174028,0,6,37,12,(Very Low),
12654,"Meadville, PA, United States",0,0,0,0,0,0,,0,0,0,55,15,,
13050,"Anderson, IN, United States",0,0,650,0,200,63,{'Bus/Trolleybus': 100},0,24,1,0,30,,
13127,"Longmeadow, MA, United States",64.71,63.89,0,0,300,0,,0,0,0,0,0,(High),(High)
13727,"Boone, NC, United States",95.59,43.06,1000,1500,138.33,51,{'Bus/Trolleybus': 100},0.823688847,0,0,53,30,(Very High),(Moderate)
13843,"Sherman, TX, United States",38.97,0,750,850,165,73,{'Car': 100},0.792516158,0,0,43,12,(Low),
13860,"Amherst, MA, United States",72.79,91.67,1300,1700,279.33,76,{'Car': 100},0.897392885,0,0,60,12,(High),(Very High)
13900,"Florence, KY, United States",82.35,75,738,575,157.69,70,,0.884976376,80,2,47,15,(Very High),(High)
33377,"Danville, VA, United States",29.04,0,500,850,190,93,,0.910072721,0,0,36,13,(Low),
33638,"Bloomfield, NJ, United States",0,0,1000,1625,150,72,,0,0,3.5,75,25,,
34660,"Garden City, NY, United States",0,0,0,0,200,50,,0,200,3,0,0,,
35236,"Yellow Springs, OH, United States",0,0,0,0,0,0,,0,0,0,40,12,,
35589,"Glendale, AZ, United States",55.39,76.39,0,1650,260,80,{'Car': 100},0,0,0,50,15,(Moderate),(High)
38983,"Alamosa, CO, United States",0,0,2000,1000,70.14,75,,0,0,0,35,15,,
39034,"Spearfish, SD, United States",0,0,550,850,0,65,,0,100,5,53,13,,
3391,"Atlanta, GA, United States",37.13,68.63,1275,1708,183.6,70,"{'Walking': 3, 'Train/Metro': 6, 'Car': 83, 'Bus/Trolleybus': 3, 'Working from Home': 3, 'Bike': 1}",0.926275296,95,2.5,60,15,(Low),(High)
3399,"Boise, ID, United States",63.72,81.26,1253,1477,218.46,63,"{'Walking': 8, 'Car': 83, 'Working from Home': 6, 'Bike': 3}",0.991701955,45,1.5,60,20,(High),(Very High)
3400,"Boston, MA, United States",62.78,75.84,1909,2654,196,63,"{'Walking': 9, 'Tram/Streetcar': 2, 'Train/Metro': 8, 'Car': 62, 'Bus/Trolleybus': 7, 'Working from Home': 6, 'Bike': 4}",0.905159206,90,2.4,90,20,(High),(High)
3402,"Buffalo, NY, United States",55.5,76.96,853,1060,184.96,73,"{'Walking': 11, 'Car': 85, 'Bike': 4}",1.008272757,75,2,73,15,(Moderate),(High)
3403,"Charlotte, NC, United States",54.7,73.93,1197,1721,157.03,63,"{'Walking': 3, 'Car': 91, 'Working from Home': 5}",0.864001193,88,2.42,60,12,(Moderate),(High)
3405,"Chicago, IL, United States",33.99,65.81,1260,1841,168.09,60,"{'Walking': 13, 'Train/Metro': 16, 'Car': 57, 'Bus/Trolleybus': 6, 'Working from Home': 5, 'Bike': 4}",1.065019791,105,2.5,75,16,(Low),(High)
3407,"Cleveland, OH, United States",36.3,80.52,919,1297,226.81,68,"{'Car': 83, 'Bus/Trolleybus': 10, 'Working from Home': 7}",0.832670406,95,2.5,80,12,(Low),(Very High)
3420,"Fresno, CA, United States",47.23,79.92,1161,1337,219.53,62,"{'Walking': 5, 'Car': 86, 'Working from Home': 5, 'Bike': 5}",1.275158644,30,1.5,63,15,(Moderate),(High)
3427,"Honolulu, HI, United States",53.95,72.53,1637,2017,294.62,63,"{'Car': 91, 'Bus/Trolleybus': 5, 'Working from Home': 5}",1.161234433,70,2.75,98,18,(Moderate),(High)
3431,"Indianapolis, IN, United States",42.87,73.25,926,1344,168.78,70,"{'Walking': 4, 'Car': 91, 'Bus/Trolleybus': 2, 'Working from Home': 2}",0.863578505,43,1.73,60,15,(Moderate),(High)
3441,"Long Beach, CA, United States",42.9,79.28,1477,1995,122.21,62,"{'Train/Metro': 9, 'Car': 91}",1.199737668,65,1.5,68,14,(Moderate),(High)
3442,"Los Angeles, CA, United States",49.78,61.71,1681,2309,145.99,65,"{'Walking': 3, 'Train/Metro': 1, 'Car': 88, 'Bus/Trolleybus': 2, 'Working from Home': 3, 'Bike': 2, 'Motorbike': 2}",1.288871482,100,1.75,80,20,(Moderate),(High)
3449,"Milwaukee, WI, United States",33.29,66.8,864,1285,171.6,61,"{'Walking': 7, 'Car': 86, 'Working from Home': 3, 'Bike': 3}",0.810942252,53,2.5,55,15,(Low),(High)
3465,"Philadelphia, PA, United States",37.09,69.84,1163,1784,171.62,64,"{'Walking': 17, 'Train/Metro': 7, 'Car': 58, 'Bus/Trolleybus': 2, 'Working from Home': 10, 'Bike': 5, 'Motorbike': 2}",0.976705109,96,2.5,60,15,(Low),(High)
3467,"Pittsburgh, PA, United States",61.22,75.58,934,1371,214.39,72,"{'Walking': 8, 'Tram/Streetcar': 3, 'Car': 75, 'Bus/Trolleybus': 11, 'Working from Home': 3}",0.958454009,98,2.75,60,15,(High),(High)
3473,"Riverside, CA, United States",61.03,59.57,1450,1718,145.99,65,"{'Train/Metro': 6, 'Car': 81, 'Bus/Trolleybus': 6, 'Working from Home': 6}",1.208785415,30,3,64,16,(High),(Moderate)
3475,"Sacramento, CA, United States",51.3,69.01,1430,1752,210.79,56,"{'Walking': 9, 'Car': 77, 'Working from Home': 8, 'Bike': 5, 'Motorbike': 2}",1.212648859,100,2.75,65,15,(Moderate),(High)
3481,"San Bernardino, CA, United States",27.42,66.67,1200,1400,192.4,66,{'Working from Home': 100},1.225347519,70,1.88,64,20,(Low),(High)
3488,"Shreveport, LA, United States",28.34,55.21,0,0,166.16,61,{'Car': 100},0.780364487,0,0,50,15,(Low),(Moderate)
7550,"Helena, MT, United States",89.71,0,1000,933,104.69,80,{'Car': 100},1.035906956,25,3,48,15,(Very High),
7813,"Thousand Oaks, CA, United States",85.43,11.11,1800,2350,165.67,58,{'Car': 100},1.279438318,0,0,75,15,(Very High),(Very Low)
7938,"Gainesville, GA, United States",50.25,77.78,1000,1200,129.93,70,,0.812923542,0,2.5,43,14,(Moderate),(High)
7944,"Allentown, PA, United States",34.21,71.76,1450,1300,131.25,63,{'Car': 100},0.91791012,0,0,48,14,(Low),(High)
8019,"Chico, CA, United States",38.24,69.44,1131,1313,255.5,61,{'Car': 100},1.226815303,44,2.38,65,15,(Low),(High)
8320,"Brunswick, GA, United States",0,72.22,1018,950,180.12,92,{'Car': 100},0.932527346,0,2.65,40,15,,(High)
8358,"Kenosha, WI, United States",48.09,0,0,0,248.68,57,{'Car': 100},0.883039365,0,1,53,15,(Moderate),
8406,"Providence, RI, United States",49.78,64.44,1572,1622,174.73,73,"{'Car': 83, 'Bike': 17}",1.011515001,0,3,70,16,(Moderate),(High)
8901,"Mount Pleasant, MI, United States",70.59,0,950,1050,138.75,67,,0.845350568,0,0,57,18,(High),
9224,"Eugene, OR, United States",55.21,74.88,946,1133,148.85,66,"{'Walking': 8, 'Car': 69, 'Bus/Trolleybus': 8, 'Bike': 15}",1.00742024,50,1.75,68,15,(Moderate),(High)
9234,"Pomona, CA, United States",45.1,44.44,520,0,65,50,{'Car': 100},1.161036171,0,0,42,15,(Moderate),(Moderate)
9294,"Owensboro, KY, United States",78.43,35.19,667,750,196.67,66,{'Car': 100},0.79489408,0,1,42,15,(High),(Low)
9358,"Bowie, MD, United States",86.03,0,1759,1986,135.36,64,,0.936930488,0,0,50,16,(Very High),
9462,"Waukesha, WI, United States",67.65,36.11,757,958,110,62,{'Car': 100},0.810942252,58,2,50,15,(High),(Low)
9685,"Conway, AR, United States",55.6,100,0,0,167.43,105,,0,0,0,38,10,(Moderate),(Very High)
9731,"San Luis Obispo, CA, United States",70.54,71.06,1800,1950,233.98,56,"{'Walking': 12, 'Car': 88}",1.224261543,0,1.5,75,15,(High),(High)
9764,"Peoria, IL, United States",51.47,73.68,640,0,150.53,66,"{'Walking': 14, 'Car': 71, 'Bike': 14}",1.059726297,35,1,42,15,(Moderate),(High)
10812,"Bluefield, WV, United States",39.71,69.44,0,0,197.04,45,,0.832141966,0,0,40,12,(Low),(High)
11087,"Northfield, MN, United States",86.76,0,0,0,177.42,83,{'Walking': 100},0,0,0,40,10,(Very High),
11983,"Concord, NC, United States",45.59,47.22,0,0,182.99,71,{'Car': 100},0.937810787,40,1.25,68,17,(Moderate),(Moderate)
12291,"Pasadena, CA, United States",80.05,86.85,1983,2472,157.02,56,{'Car': 100},1.194255952,100,1.75,65,17,(Very High),(Very High)
12452,"Lewisburg, PA, United States",0,0,575,0,167.43,40,,0.921960464,96,2.5,40,15,,
12757,"Bowling Green, OH, United States",87.25,72.22,350,0,106.67,67,,0,0,0,30,13,(Very High),(High)
13128,"Fullerton, CA, United States",56.62,84.72,1400,1900,66.81,55,,1.162357032,0,0,100,23,(Moderate),(Very High)
33898,"Dubuque, IA, United States",70.1,36.11,0,0,92.5,58,,0,0,0,50,17,(High),(Low)
35641,"Ellensburg, WA, United States",0,0,600,750,0,0,,0,0,0,65,10,,
36113,"Conway, SC, United States",32.35,0,800,700,125,85,,0,0,0,50,15,(Low),
36348,"Hartsville, SC, United States",0,0,0,0,107.5,58,,1.05404649,0,0,40,10,,
39327,"Clemson, SC, United States",0,0,600,675,237.88,65,,0.737040027,0,0,50,12,,
39513,"San Marcos, CA, United States",0,0,2000,3000,84.19,35,,0,60,3,30,10,,
39560,,0,0,0,0,0,0,,0,0,0,0,0,,
3393,"Austin, TX, United States",62.94,70.87,1364,2084,148.05,65,"{'Walking': 4, 'Car': 90, 'Bus/Trolleybus': 2, 'Working from Home': 2, 'Bike': 2}",0.81204289,41,1.25,60,16,(High),(High)
3396,"Baltimore, MD, United States",24.43,77.3,993,1444,132.76,70,"{'Walking': 16, 'Tram/Streetcar': 3, 'Train/Metro': 19, 'Car': 56, 'Bus/Trolleybus': 3, 'Working from Home': 3}",0.898625403,74,1.9,72,15,(Low),(High)
3411,"Dallas, TX, United States",49.12,66.2,1254,1664,159.63,63,"{'Walking': 3, 'Train/Metro': 2, 'Car': 89, 'Bus/Trolleybus': 1, 'Working from Home': 4, 'Motorbike': 1}",0.856798084,96,4,60,15,(Moderate),(High)
3413,"Des Moines, IA, United States",57.8,80.2,963,930,164.09,82,"{'Walking': 5, 'Car': 95}",0.906110236,48,1.38,50,16,(Moderate),(Very High)
3415,"Durham, NC, United States",45.44,75.67,1266,1540,126.78,65,"{'Car': 91, 'Bus/Trolleybus': 9}",0.833859278,36,2,65,12,(Moderate),(High)
3435,"Jacksonville, FL, United States",43.76,69.66,1074,1243,141.08,70,"{'Car': 91, 'Working from Home': 9}",0.914299555,63,1.75,60,14,(Moderate),(High)
3448,"Miami, FL, United States",47.36,63.47,1574,2254,139.13,70,"{'Walking': 5, 'Car': 92, 'Bus/Trolleybus': 1, 'Working from Home': 1, 'Bike': 2}",0.937142011,90,2.5,80,17,(Moderate),(High)
3454,"New Orleans, LA, United States",33.75,62.7,1071,1502,204.33,74,"{'Walking': 18, 'Tram/Streetcar': 5, 'Car': 68, 'Working from Home': 5, 'Bike': 5}",0.876522996,47,1.25,68,20,(Low),(High)
7500,"Fairmont, WV, United States",61.76,0,588,700,123.99,55,,0.789874437,0,0,40,12,(High),
7608,"Columbia, SC, United States",48.39,72.09,811,1052,151.67,65,{'Car': 100},0.791459718,0,0,60,10,(Moderate),(High)
7738,"Fort Myers, FL, United States",55.04,71.37,1058,1437,130.76,59,"{'Car': 93, 'Bike': 7}",0.88959959,30,2.13,58,13,(Moderate),(High)
7754,"Springfield, MO, United States",42.31,64.35,1000,700,195.47,72,"{'Walking': 9, 'Car': 73, 'Bus/Trolleybus': 9, 'Working from Home': 9}",0.826647335,70,0,49,10,(Moderate),(High)
7859,"Ann Arbor, MI, United States",79.18,77.2,1125,1575,155.95,61,"{'Walking': 5, 'Car': 79, 'Bus/Trolleybus': 16}",0.870094817,55,1.5,60,12,(High),(High)
7860,"Ypsilanti, MI, United States",49.37,0,748,1075,155.95,60,{'Walking': 100},0.847992289,0,1.5,60,12,(Moderate),
7928,"Columbus, GA, United States",25.48,75,825,1125,164.99,53,"{'Walking': 14, 'Car': 86}",0.830557324,65,1.5,40,15,(Low),(High)
8022,"Tallahassee, FL, United States",40.04,68.98,1050,1500,183.26,71,"{'Walking': 8, 'Car': 92}",0.838357293,20,0,60,12,(Moderate),(High)
8366,"Irvine, CA, United States",78.56,77.62,1934,2296,147.16,64,"{'Walking': 14, 'Car': 71, 'Working from Home': 10, 'Bike': 5}",1.363259975,25,1.5,85,16,(High),(High)
8441,"Hanover, NH, United States",86.47,0,975,1150,215.85,72,{'Car': 100},0.875994938,60,0,70,15,(Very High),
8543,"Fort Collins, CO, United States",72.86,78.67,1317,1590,142.7,60,"{'Car': 88, 'Working from Home': 6, 'Bike': 6}",0.92367779,25,2.5,50,11,(High),(High)
8904,"Melbourne, FL, United States",69.69,61.73,1317,1343,130.76,59,{'Car': 100},0.852395427,30,1.25,49,14,(High),(High)
9080,"Richmond, KY, United States",49.55,38.89,667,800,232.5,69,"{'Car': 33, 'Working from Home': 67}",0.842708848,30,3.5,30,12,(Moderate),(Low)
9094,"Prescott, AZ, United States",56.41,65,1167,1236,166.46,69,{'Car': 100},0.986682772,0,0,55,15,(Moderate),(High)
9246,"Fayetteville, NC, United States",23.69,72.78,700,800,137.5,68,{'Car': 100},0.823688847,0,0,33,12,(Low),(High)
9281,"Redmond, WA, United States",85.14,80.09,1956,2024,133.9,61,"{'Walking': 14, 'Car': 71, 'Bike': 14}",1.160309819,54,2.75,75,19,(Very High),(Very High)
9872,"Ithaca, NY, United States",78.53,63.43,1067,1650,99.76,66,"{'Walking': 17, 'Car': 50, 'Bus/Trolleybus': 17, 'Working from Home': 17}",0.900298647,45,1.5,80,15,(High),(High)
9911,"Dickinson, ND, United States",100,0,0,0,355.81,63,,0.816291643,0,0,73,18,(Very High),
9925,"Brooklyn, NY, United States",59.24,64.34,1903,2711,137.09,66,"{'Walking': 8, 'Tram/Streetcar': 8, 'Train/Metro': 52, 'Car': 20, 'Bus/Trolleybus': 8, 'Bike': 4}",0.960001385,129,2.75,90,17,(Moderate),(High)
10027,"Queens, NY, United States",57.37,27.78,1683,2271,194.7,63,"{'Walking': 20, 'Car': 60, 'Bus/Trolleybus': 20}",0.926715852,127,2.75,75,20,(Moderate),(Low)
10274,"Salem, OR, United States",54.08,64.79,1013,1188,215.14,80,"{'Car': 93, 'Bike': 7}",1.045329046,45,1.6,55,12,(Moderate),(High)
10718,"Greenville, NC, United States",42.16,72.64,900,1350,172.5,61,{'Car': 100},0.826506554,0,0,50,12,(Moderate),(High)
10809,"Bronx, NY, United States",34.45,47.22,1583,3050,132.51,75,{'Bus/Trolleybus': 100},1.02032067,138,2.63,60,15,(Low),(Moderate)
10847,"Johnson City, TN, United States",75.84,66.67,600,1000,217.57,60,{'Car': 100},0.809951762,0,0,58,15,(High),(High)
10918,"Aurora, CO, United States",49.66,75,1153,1591,138.59,65,{'Car': 100},0.844118042,0,1.5,70,11,(Moderate),(High)
11189,"Boca Raton, FL, United States",68.56,69.68,2318,2268,173.18,91,{'Car': 100},0.893430044,50,5,80,15,(High),(High)
11312,"Spartanburg, SC, United States",41.24,59.44,750,850,217.57,60,{'Car': 100},0.809951762,31,1,35,11,(Moderate),(Moderate)
11933,"San Rafael, CA, United States",80.64,73.61,1400,1750,175.92,84,"{'Car': 60, 'Working from Home': 20, 'Bike': 20}",1.265032291,40,2,65,20,(Very High),(High)
11975,"Fairfield, CT, United States",47.11,81.94,0,2400,274.48,70,{'Car': 100},0.937810787,0,0,75,20,(Moderate),(Very High)
12441,"Dover, DE, United States",55.15,50,0,1300,325,69,{'Car': 100},0.903820922,0,0,60,25,(Moderate),(Moderate)
12497,"Ankeny, IA, United States",0,94.44,0,950,163.25,83,,0,0,0,45,10,,(Very High)
12573,"Big Rapids, MI, United States",70.59,0,0,0,0,0,,0,0,0,25,7,(High),
12633,"Doylestown, PA, United States",92.16,75.93,1200,1400,114.08,62,{'Car': 100},0.91791012,70,0,50,18,(Very High),(High)
12919,"Pueblo, CO, United States",45.5,50.4,1050,1000,234.9,68,{'Car': 100},0.92795371,43,3,60,14,(Moderate),(Moderate)
33778,"New London, CT, United States",52.35,0,0,0,0,0,,0,0,0,0,0,(Moderate),
34092,"Ada, OK, United States",11.76,0,0,0,225,75,,0,0,0,0,0,(Very Low),
34129,,0,0,0,0,0,0,,0,0,0,0,0,,
34289,"Elizabeth City, NC, United States",75,91.67,0,0,0,0,,0.842708848,0,0,35,12,(High),(Very High)
34781,"Elmira, NY, United States",39.71,27.78,1150,650,243.33,63,{'Car': 100},0.898184979,0,1.75,48,16,(Low),(Low)
36020,"Quincy, MA, United States",52.45,0,1800,2000,200,78,,0.944415088,90,2.4,60,13,(Moderate),
36040,"Cleveland, MS, United States",0,0,0,0,0,0,,0,0,0,75,20,,
38996,"Charleston, IL, United States",0,0,0,0,0,0,,0,0,0,65,20,,
3397,"Baton Rouge, LA, United States",32,67.31,805,920,128.86,71,"{'Car': 89, 'Working from Home': 6, 'Bike': 6}",0.837689673,56,1.75,60,15,(Low),(High)
3406,"Cincinnati, OH, United States",51.58,68.77,890,1306,135.92,56,"{'Car': 94, 'Working from Home': 6}",0.824393005,78,2,55,15,(Moderate),(High)
3424,"Greensboro, NC, United States",56.64,58.46,1100,1467,151.67,74,{'Car': 100},0.938999658,75,1.5,65,15,(Moderate),(Moderate)
3428,"Houston, TX, United States",36.03,71.77,1062,1451,140.55,60,"{'Walking': 2, 'Car': 90, 'Bus/Trolleybus': 5, 'Working from Home': 2, 'Bike': 1, 'Motorbike': 1}",0.788855522,40,1.25,58,18,(Low),(High)
3476,"Saint Louis, MO, United States",29.6,80.85,719,1058,181.11,58,"{'Train/Metro': 4, 'Car': 91, 'Working from Home': 2, 'Motorbike': 2}",0.837895128,78,2.25,53,15,(Low),(Very High)
3489,"Spokane, WA, United States",44.94,63.66,927,1081,179.79,66,"{'Walking': 6, 'Car': 89, 'Bus/Trolleybus': 3, 'Working from Home': 3}",0.974068522,58,2,60,15,(Moderate),(High)
3498,"Wichita, KS, United States",49.36,59.63,750,1075,179.13,57,"{'Walking': 5, 'Car': 90, 'Bike': 5}",0.863904894,25,2.5,50,12,(Moderate),(Moderate)
7420,"Knoxville, TN, United States",58.3,69.91,867,988,161.72,65,"{'Car': 94, 'Working from Home': 6}",0.838859591,60,1.25,50,15,(Moderate),(High)
7641,"Normal, IL, United States",0,0,800,975,214.82,59,{'Car': 100},0.849577582,0,0,50,13,,
7696,"Lancaster, PA, United States",57.01,91.07,1040,988,162.72,78,"{'Car': 83, 'Bike': 17}",0.96546109,51,2,60,20,(Moderate),(Very High)
7721,"Roanoke, VA, United States",59.22,59.65,838,917,163.99,88,{'Car': 100},0.862786189,125,1.75,70,15,(Moderate),(Moderate)
7724,"Greenville, SC, United States",62.18,77.13,907,1500,129.93,73,"{'Car': 94, 'Working from Home': 6}",0.812923542,0,0,57,14,(High),(High)
8103,"Tiffin, OH, United States",29.41,77.78,1200,1400,95,50,,0.832141966,0,0,43,5,(Low),(High)
8198,"Bloomington, IN, United States",63.71,70.83,545,675,135.92,56,{'Car': 100},0.824393005,30,0,55,12,(High),(High)
8496,"High Point, NC, United States",33.97,59.72,760,0,191.28,49,{'Car': 100},0.791459718,40,1.25,55,14,(Low),(Moderate)
8684,"Fairfax, VA, United States",77.93,83.43,1733,1850,151.07,66,{'Car': 100},0.941802813,0,3,65,13,(High),(Very High)
9096,"Erie, PA, United States",51.56,61.11,680,650,191.19,74,{'Car': 100},0.954783952,27,1.5,50,11,(Moderate),(High)
9124,"Ames, IA, United States",87.06,63.89,0,750,121.28,64,{'Car': 100},0.81981419,35,1,45,12,(Very High),(High)
9775,"Statesboro, GA, United States",83.09,41.67,0,0,249.82,65,{'Car': 100},0.923875804,0,0,40,15,(Very High),(Moderate)
10377,"Cambridge, MA, United States",63.79,74.21,2025,2327,185.46,75,"{'Walking': 29, 'Car': 14, 'Bus/Trolleybus': 14, 'Bike': 43}",0.914299685,90,2.5,75,15,(High),(High)
10658,"Galesburg, IL, United States",52.94,47.22,0,475,101.76,63,,0.921960464,0,0,55,12,(Moderate),(Moderate)
10898,"Flint, MI, United States",23.9,56.94,0,0,150,72,"{'Walking': 33, 'Car': 67}",0.845615138,0,0,75,15,(Low),(Moderate)
10953,"Beaumont, TX, United States",37.92,61.11,0,0,175,52,{'Car': 100},0.771382633,40,1.75,43,10,(Low),(High)
11186,"Lakeland, FL, United States",57.54,86.76,1067,1309,158.05,61,{'Car': 100},0.952780807,49,1.5,50,15,(Moderate),(Very High)
11389,"Kissimmee, FL, United States",34.96,84.72,1207,1307,178.81,49,{'Car': 100},0.862522157,40,0,45,15,(Low),(Very High)
11437,"Bloomington, IL, United States",45.59,82.41,725,850,174.95,72,{'Car': 100},0.915620765,35,1.38,45,15,(Moderate),(Very High)
12357,"Durango, CO, United States",0,0,1800,2100,138.48,62,{'Car': 100},0.855447902,0,0,55,15,,
12442,"South Bend, IN, United States",38.32,62.5,712,995,284.3,66,{'Car': 100},0.915620596,0,0,50,12,(Low),(High)
12529,"Holland, MI, United States",45.96,0,575,650,167.33,63,{'Car': 100},0.937987167,0,0,65,16,(Moderate),
12617,"New Rochelle, NY, United States",80.15,0,0,0,147.5,58,"{'Train/Metro': 50, 'Car': 50}",1.450304569,0,0,40,17,(Very High),
12764,"Geneva, NY, United States",75.74,0,0,0,182.14,60,{'Car': 100},0,0,0,35,25,(High),
13739,"Florence, SC, United States",61.03,0,800,1100,340,75,{'Car': 100},0.924602184,0,0,70,12,(High),
13793,"Bangor, ME, United States",58.82,84.26,700,800,229.08,67,{'Car': 100},0.911393866,45,1.5,60,14,(Moderate),(Very High)
33559,,0,0,0,0,0,0,,0,0,0,0,0,,
