,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
434,435,Salem College,150+,Winston-Salem,NC,North Carolina,www.salem.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,30.0,59.0,Recommended,Considered,Required,872,738,84.63,121,16.4,495.0,625.0,470.0,563.0,17.0,23.0,15.0,24.0,15.0,23.0,30500.0,516.0,30500.0,516.0,31016,31016,"601 S Church St, Winston-Salem, North Carolina 27101",3499,"(36.087549, -80.241217)",36.087549, -80.241217
435,436,Sam Houston State University,150+,Huntsville,TX,Texas,www.shsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,45,45.0,30.0,Not Required,Required,Required,12025,11123,92.5,2843,25.56,490.0,570.0,480.0,550.0,18.0,23.0,19.0,25.0,16.0,23.0,15672.0,2880.0,5856.0,2880.0,18552,8736,"1806 Ave J, Huntsville, Texas 77340",34393,"(30.71436875, -95.54970079164053)",30.71436875, -95.54970079164053
436,437,Samford University,136,Birmingham,AL,Alabama,www.samford.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,40,35.0,64.0,Required,Considered,Not Required,3867,3248,83.99,971,29.9,540.0,640.0,520.0,600.0,23.0,29.0,23.0,32.0,21.0,27.0,33248.0,950.0,33248.0,950.0,34198,34198,"800 Lakeshore Drive, Birmingham, Alabama 35229-2240",3398,"(33.464148449999996, -86.79395916804393)",33.464148449999996, -86.79395916804393
437,438,San Diego State University,148,San Diego,CA,California,www.sdsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,70,70.0,36.0,Not Required,Required,Not Required,64784,23778,36.7,4852,20.41,550.0,640.0,540.0,660.0,22.0,29.0,21.0,30.0,21.0,27.0,17622.0,1978.0,5742.0,1978.0,19600,7720,"5500 Campanile Dr, San Diego, California 92182-0001",3482,"(32.7729919, -117.0736735)",32.7729919, -117.0736735
438,439,San Francisco State University,150+,San Francisco,CA,California,www.sfsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,0,70,70.0,22.0,Not Required,Required,Not Required,31430,26431,84.09,2779,10.51,470.0,570.0,460.0,560.0,16.0,23.0,14.0,23.0,16.0,22.0,17622.0,1264.0,5742.0,1264.0,18886,7006,"1600 Holloway Ave, San Francisco, California 94132",3483,"(37.7215808, -122.4756184)",37.7215808, -122.4756184
439,440,San Jose State University,150+,San Jose,CA,California,www.sjsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,70,70.0,14.0,Not Required,Required,Not Required,32375,21810,67.37,3328,15.26,500.0,610.0,510.0,630.0,19.0,26.0,18.0,25.0,18.0,26.0,17622.0,2110.0,5742.0,2110.0,19732,7852,"One Washington Square, San Jose, California 95192-0001",3484,"(37.33519025, -121.88122545292521)",37.33519025, -121.88122545292521
440,441,Santa Clara University,55,Santa Clara,CA,California,www.scu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,75,73.0,84.0,Required,Required,Required,16488,8362,50.72,1259,15.06,630.0,700.0,640.0,750.0,28.0,32.0,,,,,52998.0,0.0,52998.0,0.0,52998,52998,"500 El Camino Real, Santa Clara, California 95053",12428,"(37.350515200000004, -121.93671710067977)",37.350515200000004, -121.93671710067977
441,442,Savannah State University,150+,Savannah,GA,Georgia,www.savannahstate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,25.0,11.0,Not Required,Required,Required,10032,4629,46.14,730,15.77,450.0,520.0,395.0,460.0,15.0,19.0,13.0,19.0,15.0,18.0,14786.0,1838.0,4064.0,1838.0,16624,5902,"3219 College Street, Savannah, Georgia 31404-5310",7493,"(32.0229237, -81.0561068)",32.0229237, -81.0561068
442,443,School of the Art Institute of Chicago,150+,Chicago,IL,Illinois,www.saic.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Implied no,0,65,45.0,47.0,Required,Required,Required,6530,5079,77.78,454,8.94,560.0,660.0,488.0,600.0,22.0,25.0,22.0,31.0,19.0,26.0,52200.0,960.0,52200.0,960.0,53160,53160,"236 Wabash, Chicago, Illinois 60603",3405,"(41.8383802, -87.6251419)",41.8383802, -87.6251419
443,444,School of Visual Arts,150+,New York,NY,New York,www.sva.edu/,Four or more years,Private for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Implied no,0,50,80.0,63.0,Recommended,Required,Required,4314,3086,71.53,563,18.24,545.0,650.0,530.0,680.0,23.0,27.0,,,,,43400.0,0.0,43400.0,0.0,43400,43400,"23rd St, New York, New York 10010",3455,"(40.7401727, -73.98626027401363)",40.7401727, -73.98626027401363
444,445,Schreiner University,150+,Kerrville,TX,Texas,www.schreiner.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,25,25.0,37.0,Recommended,Considered,Recommended,1403,1349,96.15,298,22.09,460.0,590.0,460.0,570.0,17.0,23.0,14.0,23.0,17.0,23.0,31938.0,0.0,31938.0,0.0,31938,31938,"2100 Memorial Blvd, Kerrville, Texas 78028-5697",7768,"(30.03127035, -99.13024647445343)",30.03127035, -99.13024647445343
445,446,Seattle Pacific University,150+,Seattle,WA,Washington,spu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,0,50,50.0,53.0,Required,Required,Required,3923,3555,90.62,655,18.42,510.0,590.0,500.0,570.0,20.0,27.0,19.0,28.0,18.0,25.0,46728.0,516.0,46728.0,516.0,47244,47244,"3307 3rd Ave W, Seattle, Washington 98119-1997",3487,"(47.6496408, -122.36266860337459)",47.6496408, -122.36266860337459
446,447,Seattle University,127,Seattle,WA,Washington,www.seattleu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,55,55.0,61.0,Required,Considered,Required,7914,6587,83.23,805,12.22,570.0,660.0,560.0,670.0,24.0,30.0,23.0,31.0,23.0,28.0,47565.0,825.0,47565.0,825.0,48390,48390,"900 Broadway, Seattle, Washington 98122-4340",3487,"(47.668743, -122.368787)",47.668743, -122.368787
447,448,Shenandoah University,150+,Winchester,VA,Virginia,www.su.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,30,30.0,46.0,Recommended,Required,Required,2646,1968,74.38,519,26.37,510.0,630.0,500.0,600.0,19.0,26.0,18.0,26.0,17.0,26.0,32580.0,1320.0,32580.0,1320.0,33900,33900,"1460 University Dr, Winchester, Virginia 22601-5195",9400,"(39.165184, -78.160301)",39.165184, -78.160301
448,449,Shippensburg University of Pennsylvania,150+,Shippensburg,PA,Pennsylvania,www.ship.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Fringe,Yes,1,45,45.0,35.0,Recommended,Required,Required,6760,6349,93.92,1219,19.2,470.0,580.0,470.0,570.0,15.0,23.0,15.0,22.0,16.0,24.0,10048.0,4224.0,9570.0,3974.0,14272,13544,"1871 Old Main Drive, Shippensburg, Pennsylvania 17257-2299",10291,"(40.062137050000004, -77.52174091885047)",40.062137050000004, -77.52174091885047
449,450,Shorter University,150+,Rome,GA,Georgia,www.shorter.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,25,25.0,38.0,Recommended,Required,Recommended,1548,1098,70.93,302,27.5,480.0,590.0,470.0,570.0,18.0,24.0,16.0,23.0,17.0,23.0,22380.0,430.0,22380.0,430.0,22810,22810,"315 Shorter Ave, Rome, Georgia 30165",34559,"(34.25942875, -85.19527510695326)",34.25942875, -85.19527510695326
450,451,Simmons University,136,Boston,MA,Massachusetts,www.simmons.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,55,56.0,76.0,Required,Required,Required,2905,2398,82.55,451,18.81,540.0,640.0,520.0,610.0,24.0,29.0,23.0,29.0,19.0,27.0,40850.0,1067.0,40850.0,1067.0,41917,41917,"300 The Fenway, Boston, Massachusetts 02115-5898",3400,"(42.3400317, -71.1008718)",42.3400317, -71.1008718
451,452,Simpson University,150+,Redding,CA,California,www.simpsonu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,0,0.0,50.0,Considered,Considered,Required,1276,762,59.72,103,13.52,490.0,605.0,470.0,580.0,21.0,28.0,19.0,28.0,18.0,26.0,32700.0,930.0,32700.0,930.0,33630,33630,"2211 College View Drive, Redding, California 96003-8606",7827,"(40.61757520259876, -122.33149760452972)",40.61757520259876, -122.33149760452972
452,453,Skidmore College,150+,Saratoga Springs,NY,New York,www.skidmore.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Small,Implied no,0,65,0.0,82.0,Required,Considered,Required,10433,3356,32.17,718,21.39,610.0,700.0,610.0,703.0,27.0,31.0,27.0,34.0,24.0,30.0,57066.0,1212.0,57066.0,1212.0,58278,58278,"815 N Broadway, Saratoga Springs, New York 12866",13808,"(43.09587245, -73.7831433884768)",43.09587245, -73.7831433884768
453,454,Soka University of America,150+,Aliso Viejo,CA,California,www.soka.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Implied no,0,45,45.0,85.0,Required,Considered,Required,427,222,51.99,102,45.95,560.0,650.0,620.0,760.0,26.0,32.0,24.0,31.0,24.0,30.0,32250.0,1712.0,32250.0,1712.0,33962,33962,"1 University Drive, Aliso Viejo, California 92656-8081",33734,"(33.554675200000005, -117.73474045850824)",33.554675200000005, -117.73474045850824
454,455,South Dakota School of Mines and Technology,150+,Rapid City,SD,South Dakota,www.sdsmt.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,20,35.0,16.0,Not Required,Required,Required,1329,1137,85.55,453,39.84,565.0,665.0,590.0,690.0,24.0,29.0,22.0,30.0,25.0,30.0,12120.0,3280.0,7740.0,3280.0,15400,11020,"501 E Saint Joseph St, Rapid City, South Dakota 57701-3995",7574,"(44.0736883, -103.20614)",44.0736883, -103.20614
455,456,Southeast Missouri Hospital College of Nursing and Health Sciences,150+,Cape Girardeau,MO,Missouri,www.sehcollege.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Small,Implied no,0,50,,,Not Required,Considered,Not Required,20,18,90.0,13,72.22,,,,,21.0,23.0,21.0,24.0,18.0,23.0,12050.0,1251.0,12050.0,1251.0,13301,13301,"2001 William Street, Cape Girardeau, Missouri 63703-4507",11518,"(37.302669367816094, -89.54521891954023)",37.302669367816094, -89.54521891954023
456,457,Southeastern Baptist College,150+,Laurel,MS,Mississippi,www.southeasternbaptist.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,1,25,,0.0,Required,Considered,Not Required,41,23,56.1,18,78.26,,,,,16.0,17.0,15.0,17.0,15.0,17.0,6000.0,275.0,6000.0,275.0,6275,6275,"4229 Hwy 15 N, Laurel, Mississippi 39440-9989",9074,"(31.74839, -89.14916094055737)",31.74839, -89.14916094055737
457,458,Southeastern Louisiana University,150+,Hammond,LA,Louisiana,www.southeastern.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,20,20.0,17.0,Not Required,Required,Required,6036,5877,97.37,2580,43.9,,,,,19.0,24.0,19.0,25.0,17.0,23.0,18255.0,2512.0,5777.0,2512.0,20767,8289,"548 Ned McGehee Ave., Hammond, Louisiana 70402",13744,"(30.5182254, -90.46881486064369)",30.5182254, -90.46881486064369
458,459,Southeastern Oklahoma State University,150+,Durant,OK,Oklahoma,www.se.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,20,20.0,18.0,Not Required,Required,Required,1009,793,78.59,510,64.31,440.0,550.0,440.0,540.0,17.0,23.0,16.0,22.0,16.0,21.0,14880.0,510.0,6240.0,510.0,15390,6750,"425 W University Blvd, Durant, Oklahoma 74701-3347",11573,"(34.0083179, -96.3756103445447)",34.0083179, -96.3756103445447
459,460,Southeastern University,150+,Lakeland,FL,Florida,www.seu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,40,50.0,26.0,Required,Considered,Required,5689,2427,42.66,1267,52.2,490.0,600.0,470.0,570.0,19.0,24.0,18.0,25.0,17.0,24.0,26520.0,1000.0,26520.0,1000.0,27520,27520,"1000 Longfellow Blvd, Lakeland, Florida 33801-6034",11186,"(28.03048365, -81.91800905687728)",28.03048365, -81.91800905687728
460,461,Southern Arkansas University Main Campus,150+,Magnolia,AR,Arkansas,www.saumag.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,0,25.0,26.0,Not Required,Required,Required,3426,2348,68.53,776,33.05,,,,,19.0,25.0,19.0,26.0,17.0,25.0,11460.0,2660.0,6420.0,2660.0,14120,9080,"100 University, Magnolia, Arkansas 71753",34179,"(33.2898495, -93.2360008)",33.2898495, -93.2360008
461,462,Southern California Institute of Architecture,150+,Los Angeles,CA,California,www.sciarc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Implied no,0,85,85.0,0.0,Required,Considered,Required,422,284,67.3,27,9.51,499.0,651.0,500.0,685.0,27.0,30.0,28.0,29.0,26.0,29.0,48078.0,1200.0,48078.0,1200.0,49278,49278,"960 E. 3rd Street, Los Angeles, California 90013-1822",3442,"(34.0431787, -118.2328067)",34.0431787, -118.2328067
462,463,Southern Illinois University-Carbondale,150+,Carbondale,IL,Illinois,www.siu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,40,65.0,25.0,Not Required,Considered,Considered,6165,5658,91.78,1361,24.05,470.0,590.0,460.0,590.0,20.0,27.0,19.0,27.0,17.0,26.0,9638.0,5466.0,9638.0,5466.0,15104,15104,"Lincoln Drive, Carbondale, Illinois 62901-4512",8729,"(37.719378, -89.219236)",37.719378, -89.219236
463,464,Southern Illinois University-Edwardsville,150+,Edwardsville,IL,Illinois,www.siue.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,40,40.0,26.0,Not Required,Required,Required,8773,7461,85.05,1554,20.83,500.0,610.0,510.0,610.0,21.0,27.0,20.0,27.0,19.0,26.0,9123.0,3096.0,9123.0,3096.0,12219,12219,"Il State Rte 157, Edwardsville, Illinois 62026-1259",12210,"(38.794161599999995, -90.00027885501575)",38.794161599999995, -90.00027885501575
464,465,Southern Methodist University,68,Dallas,TX,Texas,www.smu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,60,75.0,68.0,Required,Required,Required,14010,7379,52.67,1531,20.75,630.0,710.0,620.0,740.0,29.0,33.0,29.0,35.0,26.0,31.0,51958.0,6582.0,51958.0,6582.0,58540,58540,"6425 Boaz St, Dallas, Texas 75275-0221",3411,"(32.84444712403273, -96.78580387001598)",32.84444712403273, -96.78580387001598
465,466,Southern University and A & M College,150+,Baton Rouge,LA,Louisiana,www.subr.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,25.0,9.0,Not Required,Required,Required,6935,3013,43.45,1370,45.47,440.0,533.0,410.0,510.0,16.0,20.0,14.0,20.0,15.0,18.0,4973.0,11747.0,4973.0,4367.0,16720,9340,"P.O. Box 9374  Harding Blvd, Baton Rouge, Louisiana 70813",3397,"(30.52581565, -91.19494604535262)",30.52581565, -91.19494604535262
466,467,Southern University at New Orleans,150+,New Orleans,LA,Louisiana,www.suno.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,20,25.0,7.0,Not Required,Required,Required,2261,1628,72.0,197,12.1,,,,,15.0,18.0,17.0,19.0,16.0,17.0,13384.0,2576.0,4483.0,2576.0,15960,7059,"6400 Press Drive, New Orleans, Louisiana 70126",3454,"(30.027815, -90.044791)",30.027815, -90.044791
467,468,Southern Utah University,150+,Cedar City,UT,Utah,www.suu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,50,60.0,21.0,Not Required,Required,Required,16694,12614,75.56,2204,17.47,520.0,620.0,510.0,600.0,21.0,27.0,20.0,28.0,19.0,27.0,19822.0,764.0,6006.0,764.0,20586,6770,"351 West University Blvd, Cedar City, Utah 84720",10595,"(37.6770079, -113.0795429)",37.6770079, -113.0795429
468,469,Southwest Minnesota State University,150+,Marshall,MN,Minnesota,www.smsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,20,30.0,33.0,Not Required,Required,Required,1856,1496,80.6,349,23.33,445.0,562.0,490.0,540.0,17.0,23.0,15.0,22.0,17.0,24.0,7837.0,1221.0,7837.0,1221.0,9058,9058,"1501 State St, Marshall, Minnesota 56258-5468",12999,"(44.453862, -95.756858)",44.453862, -95.756858
469,470,Spalding University,150+,Louisville,KY,Kentucky,www.spalding.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,0,30.0,23.0,Not Required,Considered,Required,700,654,93.43,138,21.1,438.0,560.0,458.0,543.0,16.0,23.0,15.0,23.0,16.0,23.0,25800.0,175.0,25800.0,175.0,25975,25975,"901 S Fourth Street, Louisville, Kentucky 40203-2188",3443,"(47.6767068, -117.2612812)",47.6767068, -117.2612812
470,471,Spelman College,150+,Atlanta,GA,Georgia,www.spelman.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Large,Implied no,0,40,,68.0,Required,Required,Required,9118,4794,52.58,576,12.02,540.0,620.0,510.0,580.0,20.0,25.0,20.0,25.0,17.0,24.0,25942.0,4030.0,25942.0,4030.0,29972,29972,"350 Spelman Lane SW, Atlanta, Georgia 30314-4399",3391,"(33.74544404185951, -84.40890210018527)",33.74544404185951, -84.40890210018527
471,472,Spring Hill College,150+,Mobile,AL,Alabama,www.shc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,0.0,50.0,Required,Considered,Required,2742,1485,54.16,251,16.9,490.0,590.0,510.0,560.0,20.0,25.0,21.0,27.0,17.0,24.0,39336.0,2532.0,39336.0,2532.0,41868,41868,"4000 Dauphin St, Mobile, Alabama 36608-1791",3451,"(30.6897722, -88.1392483077685)",30.6897722, -88.1392483077685
472,473,Springfield College,150+,Springfield,MA,Massachusetts,www.springfield.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,50,50.0,68.0,Required,Considered,Required,3441,2182,63.41,620,28.41,600.0,640.0,600.0,660.0,21.0,27.0,21.0,26.0,22.0,28.0,39930.0,550.0,39930.0,550.0,40480,40480,"263 Alden St, Springfield, Massachusetts 01109-3797",8343,"(42.1024581, -72.5579733)",42.1024581, -72.5579733
473,474,St Catherine University,150+,Saint Paul,MN,Minnesota,www.stkate.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,0,60.0,47.0,Recommended,Considered,Required,1677,1277,76.15,327,25.61,570.0,620.0,510.0,620.0,19.0,25.0,18.0,25.0,18.0,25.0,41700.0,894.0,41700.0,894.0,42594,42594,"2004 Randolph Ave, Saint Paul, Minnesota 55105",3477,"(44.927138346153846, -93.1851013846154)",44.927138346153846, -93.1851013846154
474,475,St Olaf College,150+,Northfield,MN,Minnesota,wp.stolaf.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,0,0,,82.0,Required,Considered,Required,5231,2658,50.81,729,27.43,580.0,690.0,570.0,700.0,25.0,32.0,24.0,33.0,24.0,30.0,51450.0,0.0,51450.0,0.0,51450,51450,"1520 St Olaf Ave, Northfield, Minnesota 55057-1098",11087,"(44.46383005, -93.1872288943535)",44.46383005, -93.1872288943535
475,476,St. John's University-New York,150+,Queens,NY,New York,www.stjohns.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,0,70.0,42.0,Considered,Considered,Required,27917,20956,75.07,2082,9.94,540.0,640.0,540.0,660.0,23.0,29.0,22.0,31.0,22.0,28.0,43160.0,1600.0,43160.0,1600.0,44760,44760,"8000 Utopia Pky, Queens, New York 11439",10027,"(40.7803971, -73.7939585)",40.7803971, -73.7939585
476,477,St. Joseph's College-New York,150+,Brooklyn,NY,New York,www.sjcny.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,25,25.0,60.0,Required,Required,Required,4654,3289,70.67,666,20.25,510.0,600.0,510.0,600.0,22.0,26.0,21.0,26.0,20.0,26.0,28590.0,610.0,28590.0,610.0,29200,29200,"245 Clinton Ave, Brooklyn, New York 11205-3688",9925,"(40.6905497037037, -73.96818611111111)",40.6905497037037, -73.96818611111111
477,478,St. Mary's University,150+,San Antonio,TX,Texas,www.stmarytx.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,0,0.0,44.0,Recommended,Considered,Required,5210,4451,85.43,514,11.55,520.0,620.0,500.0,600.0,20.0,26.0,19.0,25.0,18.0,25.0,32700.0,1020.0,32700.0,1020.0,33720,33720,"One Camino Santa Maria, San Antonio, Texas 78228",3480,"(51.43620475, -0.33418222554973653)",51.43620475, -0.33418222554973653
478,479,Stanford University,6,Stanford,CA,California,www.stanford.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,90,125.0,75.0,Required,Required,Recommended,45227,2349,5.19,1606,68.37,700.0,770.0,720.0,800.0,31.0,35.0,33.0,36.0,30.0,35.0,55473.0,696.0,55473.0,696.0,56169,56169," , Stanford, California 94305",8279,"(37.426540700000004, -122.17029258409187)",37.426540700000004, -122.17029258409187
479,480,State University of New York at New Paltz,150+,New Paltz,NY,New York,www.newpaltz.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,0,50,50.0,60.0,Required,Required,Not Required,8843,5484,62.02,974,17.76,530.0,630.0,540.0,630.0,24.0,29.0,20.0,26.0,23.0,29.0,16980.0,1346.0,7070.0,1346.0,18326,8416,"1 Hawk Drive, New Paltz, New York 12561-2443",8067,"(41.740967850000004, -74.0821758117377)",41.740967850000004, -74.0821758117377
480,481,Stephen F Austin State University,150+,Nacogdoches,TX,Texas,www.sfasu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,45,50.0,30.0,Not Required,Required,Required,9016,6862,76.11,1764,25.71,490.0,590.0,490.0,560.0,18.0,24.0,17.0,23.0,17.0,23.0,18858.0,2758.0,7842.0,2758.0,21616,10600,"2008 Alumni Drive  Rusk 206, Nacogdoches, Texas 75961",10613,"(31.62355395, -94.64344493798868)",31.62355395, -94.64344493798868
481,482,Stephens College,150+,Columbia,MO,Missouri,www.stephens.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,50.0,47.0,Considered,Considered,Required,644,414,64.29,76,18.36,480.0,540.0,470.0,580.0,20.0,24.0,21.0,22.0,18.0,21.0,23175.0,210.0,23175.0,210.0,23385,23385,"1200 E Broadway, Columbia, Missouri 65215",9331,"(38.951355, -92.323455)",38.951355, -92.323455
482,483,Stevens Institute of Technology,83,Hoboken,NJ,New Jersey,www.stevens.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,70,60.0,45.0,Required,Considered,Required,10346,5490,53.06,918,16.72,640.0,710.0,680.0,770.0,31.0,34.0,30.0,35.0,29.0,34.0,53828.0,2124.0,53828.0,2124.0,55952,55952,"Castle Point On Hudson, Hoboken, New Jersey 07030-5991",11268,"(40.74435205, -74.02378415629497)",40.74435205, -74.02378415629497
483,484,Suffolk University,150+,Boston,MA,Massachusetts,www.suffolk.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,50,50.0,45.0,Required,Considered,Required,7686,6602,85.9,890,13.48,510.0,613.0,500.0,590.0,21.0,26.0,,,,,41242.0,406.0,41242.0,406.0,41648,41648,"73 Tremont St., Boston, Massachusetts 02108-3901",3400,"(42.35784935, -71.06104005810357)",42.35784935, -71.06104005810357
484,485,Sul Ross State University,150+,Alpine,TX,Texas,www.sulross.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,50,25.0,13.0,Not Required,Considered,Required,1012,818,80.83,213,26.04,430.0,527.0,420.0,520.0,15.0,21.0,13.0,20.0,15.0,21.0,18817.0,2230.0,6547.0,2230.0,21047,8777,"HWY 90 East, Alpine, Texas 79832",33706,"(30.3630675, -103.6507273)",30.3630675, -103.6507273
485,486,Summit Christian College,150+,Gering,NE,Nebraska,www.summitcc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Remote,Yes,1,35,,60.0,Required,Required,Required,14,5,35.71,5,100.0,,,,,18.0,21.0,17.0,20.0,20.0,24.0,6720.0,850.0,6720.0,850.0,7570,7570,"2025 21st Street, Gering, Nebraska 69341",37785,"(41.8293566, -103.6757197)",41.8293566, -103.6757197
